# Eurostat macro series for credit lecture R1. Public and free; no client data.
# Committed deliberately, unlike everything else under data/, so the lecture
# renders on a fresh clone. Rebuild with scripts/fetch_macro_eurostat.py.
# unemployment  une_rt_m       harmonised rate, % of active population, SA
# inflation     prc_hicp_manr  HICP all-items annual rate of change, %
# gdp_growth    namq_10_gdp    real GDP, % change on same quarter a year
#                              earlier, SCA, held constant across the quarter
# Downloaded 2026-09-02 from https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data
country,month,unemployment,inflation,gdp_growth
EE,2009-01,10.2,4.7,-13.3
EE,2009-02,10.8,3.9,-13.3
EE,2009-03,11.6,2.5,-13.3
EE,2009-04,12.3,0.9,-17.1
EE,2009-05,12.9,0.3,-17.1
EE,2009-06,13.2,-0.5,-17.1
EE,2009-07,14.4,-0.4,-18.6
EE,2009-08,14.9,-0.7,-18.6
EE,2009-09,14.6,-1.7,-18.6
EE,2009-10,15.3,-2.1,-7.2
EE,2009-11,15.7,-2.1,-7.2
EE,2009-12,16.9,-1.9,-7.2
EE,2010-01,17.9,-1.0,-3.7
EE,2010-02,18.6,-0.3,-3.7
EE,2010-03,18.8,1.4,-3.7
EE,2010-04,18.6,2.5,1.3
EE,2010-05,17.9,2.8,1.3
EE,2010-06,17.1,3.4,1.3
EE,2010-07,16.0,2.7,4.8
EE,2010-08,15.8,2.8,4.8
EE,2010-09,15.3,3.8,4.8
EE,2010-10,14.7,4.5,6.6
EE,2010-11,13.7,5.0,6.6
EE,2010-12,14.1,5.4,6.6
EE,2011-01,14.3,5.1,8.2
EE,2011-02,13.6,5.5,8.2
EE,2011-03,13.6,5.1,8.2
EE,2011-04,12.9,5.4,8.0
EE,2011-05,12.8,5.5,8.0
EE,2011-06,12.8,4.9,8.0
EE,2011-07,11.9,5.3,7.8
EE,2011-08,11.2,5.6,7.8
EE,2011-09,11.1,5.4,7.8
EE,2011-10,11.6,4.7,5.4
EE,2011-11,11.4,4.4,5.4
EE,2011-12,10.8,4.1,5.4
EE,2012-01,10.8,4.7,3.4
EE,2012-02,10.8,4.4,3.4
EE,2012-03,10.8,4.7,3.4
EE,2012-04,9.9,4.3,3.7
EE,2012-05,9.9,4.1,3.7
EE,2012-06,10.0,4.4,3.7
EE,2012-07,10.0,4.1,3.2
EE,2012-08,9.8,4.2,3.2
EE,2012-09,9.1,4.1,3.2
EE,2012-10,9.1,4.2,4.3
EE,2012-11,9.2,3.8,4.3
EE,2012-12,9.5,3.6,4.3
